Session Day of Week,Session Date,Custom Player Id,Player Name,Player Last Name,Player Position,Drill Title,Distance Total,High Speed Running (Absolute),High Speed Running (Relative),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Sprints,Fatigue Index,HML Distance,HML Distance Per Minute,HML Efforts,Distance Z5ToZ6,Accelerations,Max Acceleration,Accelerations Z4 to Z6,Decelerations,Distance Per Min,Max Speed,Dynamic Stress Load,Step Balance,Deceleration Z4 to Z6,Metabolic Distance Zone 6,HSR Per Minute (Relative),Session Type,Session Week Number,Total Time,Accelerations Z3 to Z6,Distance Zone 6 (Relative),Distance Z5ToZ6Ab,Time In Red Zone,Total Loading
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Entire Session,4157.37,135.78,135.78,9.43,1.48,0,0,0,0,0,0,135.78,50,5.64,50,36,45.26,28.12,81.37,0.01,36,620.6,1.48,MatchDayMinusTwo,30,1:31:58,159,9.43,135.78,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Entire Session,4886.78,151.43,151.43,14.42,1.67,0,0,0,0,0,0,151.43,60,5.62,60,66,53.99,27.04,272.12,-0.02,66,743.44,1.67,MatchDayMinusTwo,30,1:30:38,171,14.42,151.43,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Entire Session,4521.17,51.41,51.41,0,0.57,0,0,0,0,0,0,51.41,42,5.29,42,37,50.38,23.94,207.41,-0.07,37,527.87,0.57,MatchDayMinusTwo,30,1:29:52,169,0,51.41,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Entire Session,4896.94,196.95,196.95,28.05,2.17,0,0,0,0,0,0,196.95,51,5.06,51,61,53.91,27.04,148.76,0.06,61,705.12,2.17,MatchDayMinusTwo,30,1:30:58,179,28.05,196.95,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Entire Session,4699.6,54.45,22.82,0.71,0.61,0,0,0,0,0,0,22.82,50,5.87,50,34,52.5,25.7,213.91,0.04,34,422.69,0.25,MatchDayMinusTwo,30,1:29:38,180,0,54.45,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Entire Session,4169.01,106.09,106.09,4.96,1.18,0,0,0,0,0,0,106.09,26,4.48,26,47,46.38,25.88,320.37,-0.03,47,623.28,1.18,MatchDayMinusTwo,30,1:30:01,150,4.96,106.09,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Entire Session,4448.71,119.48,85.86,8.61,1.29,0,0,0,0,0,0,85.86,51,5.21,51,50,48.15,27.58,170.17,-0.06,50,656.92,0.93,MatchDayMinusTwo,30,1:32:35,158,0,119.48,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Entire Session,5027.84,93.32,93.32,9.3,1.02,0,0,0,0,0,0,93.32,70,5.56,70,64,55.14,26.42,75.3,-0.06,64,748.01,1.02,MatchDayMinusTwo,30,1:31:18,219,9.3,93.32,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Entire Session,5046.78,207.17,207.17,13.6,2.3,0,0,0,0,0,0,207.17,61,5.47,61,47,55.94,26.93,272.35,0.02,47,748.82,2.3,MatchDayMinusTwo,30,1:30:20,208,13.6,207.17,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Entire Session,4559.04,130.14,130.14,5.09,1.4,0,0,0,0,0,0,130.14,70,6.31,70,68,48.9,27,275.76,0.02,68,797.7,1.4,MatchDayMinusTwo,30,1:33:22,189,5.09,130.14,0:00:00,0
Thursday,25/07/2024,,MANUEL MARQUEZ,MARQUEZ,EXTREMO,Entire Session,4856.99,191.47,191.47,15.9,2.1,0,0,0,0,0,0,191.47,53,5.82,53,53,53.31,28.08,267.74,-0.03,53,869.38,2.1,MatchDayMinusTwo,30,1:32:41,148,15.9,191.47,0:00:00,0
Thursday,25/07/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Entire Session,4646.49,143.94,143.94,12.88,1.58,0,0,0,0,0,0,143.94,51,5.13,51,47,51.15,26.71,183.93,-0.03,47,731.99,1.58,MatchDayMinusTwo,30,1:30:58,166,12.88,143.94,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Entire Session,5002.92,122.24,122.24,5.72,1.34,0,0,0,0,0,0,122.24,56,5.66,56,55,54.65,27.14,156.21,0.03,55,724,1.34,MatchDayMinusTwo,30,1:31:40,176,5.72,122.24,0:00:00,0
Thursday,25/07/2024,,ROJO ,,CENTROCAMPISTA,Entire Session,5374.98,93.71,93.71,5.03,1.01,0,0,0,0,0,0,93.71,59,5.68,59,54,58.07,27.14,220.72,0.01,54,757.65,1.01,MatchDayMinusTwo,30,1:32:41,223,5.03,93.71,0:00:00,0
Thursday,25/07/2024,,JESUS SANCHEZ,SANCHEZ,CENTRAL,Entire Session,4886.54,92.31,92.31,15.23,1.03,0,0,0,0,0,0,92.31,57,5.47,57,63,54.41,28.04,123.54,-0.04,63,749.3,1.03,MatchDayMinusTwo,30,1:29:56,226,15.23,92.31,0:00:00,0
Thursday,25/07/2024,,ANTONIO CALVO,CALVO,CENTROCAMPISTA,Entire Session,5377.05,75.86,75.86,0.71,0.82,0,0,0,0,0,0,75.86,61,5.54,61,44,58.03,25.45,183.67,-0.06,44,694.85,0.82,MatchDayMinusTwo,30,1:32:47,208,0.71,75.86,0:00:00,0
Thursday,25/07/2024,,UNAX ALVAREZ,ALVAREZ,EXTREMO,Entire Session,4773.26,125.13,125.13,7.87,1.35,0,0,0,0,0,0,125.13,50,5.45,50,46,51.52,26.75,343.87,-0.02,46,665.01,1.35,MatchDayMinusTwo,30,1:32:47,172,7.87,125.13,0:00:00,0
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Movilidad centro del campo,247.56,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,51.58,12.49,2.81,0.05,0,1.21,0,MatchDayMinusTwo,30,0:05:00,1,0,0,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Movilidad centro del campo,303.16,0,0,0,0,0,0,0,0,0,0,0,2,3.67,2,5,70.94,17.14,10.07,-0.01,5,18,0,MatchDayMinusTwo,30,0:05:00,7,0,0,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Movilidad centro del campo,311.09,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,71.43,11.84,6.91,-0.1,0,0.61,0,MatchDayMinusTwo,30,0:05:00,1,0,0,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Movilidad centro del campo,282.58,0,0,0,0,0,0,0,0,0,0,0,1,3.68,1,1,56.38,14.04,6.45,-0.02,1,12.79,0,MatchDayMinusTwo,30,0:05:00,7,0,0,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Movilidad centro del campo,304.03,0,0,0,0,0,0,0,0,0,0,0,1,3.13,1,1,62.26,14.62,8.3,-0.01,1,1.7,0,MatchDayMinusTwo,30,0:05:00,4,0,0,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Movilidad centro del campo,286.32,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,63.56,12.17,11.51,-0.04,0,3.83,0,MatchDayMinusTwo,30,0:05:00,5,0,0,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Movilidad centro del campo,349.23,0,0,0,0,0,0,0,0,0,0,0,2,3.61,2,1,69.68,17.39,14.15,0,1,18.74,0,MatchDayMinusTwo,30,0:05:00,9,0,0,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Movilidad centro del campo,284.85,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,56.84,11.99,3.83,-0.02,0,1.6,0,MatchDayMinusTwo,30,0:05:00,3,0,0,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Movilidad centro del campo,282.44,0,0,0,0,0,0,0,0,0,0,0,1,5.11,1,1,58.6,19.76,13.85,0.05,1,9.71,0,MatchDayMinusTwo,30,0:05:00,3,0,0,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Movilidad centro del campo,403.43,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,1,80.5,17.82,18.71,0.02,1,25.18,0,MatchDayMinusTwo,30,0:05:00,9,0,0,0:00:00,0
Thursday,25/07/2024,,MANUEL MARQUEZ,MARQUEZ,EXTREMO,Movilidad centro del campo,351.37,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,70.11,14.33,10.99,-0.01,0,2.8,0,MatchDayMinusTwo,30,0:05:00,2,0,0,0:00:00,0
Thursday,25/07/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Movilidad centro del campo,366.76,0,0,0,0,0,0,0,0,0,0,0,1,3.7,1,3,73.18,14.87,8.82,-0.06,3,8.12,0,MatchDayMinusTwo,30,0:05:00,4,0,0,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Movilidad centro del campo,300.99,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,1,60.06,16.2,8.12,0.02,1,8.03,0,MatchDayMinusTwo,30,0:05:00,3,0,0,0:00:00,0
Thursday,25/07/2024,,ROJO ,,CENTROCAMPISTA,Movilidad centro del campo,339.76,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,1,67.79,13.79,6.85,0.02,1,4.57,0,MatchDayMinusTwo,30,0:05:00,2,0,0,0:00:00,0
Thursday,25/07/2024,,JESUS SANCHEZ,SANCHEZ,CENTRAL,Movilidad centro del campo,294.45,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,1,66.9,13.75,7.22,0,1,4.25,0,MatchDayMinusTwo,30,0:05:00,4,0,0,0:00:00,0
Thursday,25/07/2024,,ANTONIO CALVO,CALVO,CENTROCAMPISTA,Movilidad centro del campo,407.71,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,81.35,16.88,9.68,-0.01,0,14.47,0,MatchDayMinusTwo,30,0:05:00,5,0,0,0:00:00,0
Thursday,25/07/2024,,UNAX ALVAREZ,ALVAREZ,EXTREMO,Movilidad centro del campo,300.9,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,1,60.04,13.64,24.11,-0.03,1,4.85,0,MatchDayMinusTwo,30,0:05:00,2,0,0,0:00:00,0
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Rondo Móvil 6vs2 7vs0,286.3,1.69,1.69,0,0.22,0,0,0,0,0,0,1.69,2,3.33,2,5,37.87,20.45,7.55,0.03,5,62.16,0.22,MatchDayMinusTwo,30,0:07:33,18,0,1.69,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Rondo Móvil 6vs2 7vs0,302.77,3.96,3.96,0,0.52,0,0,0,0,0,0,3.96,5,3.82,5,5,40.05,21.17,17.93,0,5,49.5,0.52,MatchDayMinusTwo,30,0:07:33,16,0,3.96,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Rondo Móvil 6vs2 7vs0,191.98,0,0,0,0,0,0,0,0,0,0,0,2,3.44,2,5,25.39,17.46,7.37,-0.06,5,29.57,0,MatchDayMinusTwo,30,0:07:33,8,0,0,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Rondo Móvil 6vs2 7vs0,253.97,0,0,0,0,0,0,0,0,0,0,0,3,3.9,3,5,33.59,17.82,6.34,0.06,5,34.86,0,MatchDayMinusTwo,30,0:07:33,10,0,0,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Rondo Móvil 6vs2 7vs0,174,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,2,23.02,19.73,4.66,0.03,2,21.34,0,MatchDayMinusTwo,30,0:07:33,2,0,0,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Rondo Móvil 6vs2 7vs0,298.28,0,0,0,0,0,0,0,0,0,0,0,3,3.75,3,5,39.46,18.47,24.06,-0.06,5,47.29,0,MatchDayMinusTwo,30,0:07:33,24,0,0,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Rondo Móvil 6vs2 7vs0,228.27,1.69,0,0,0.22,0,0,0,0,0,0,0,7,4.68,7,9,30.19,20.41,12.01,-0.09,9,61.72,0,MatchDayMinusTwo,30,0:07:33,13,0,1.69,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Rondo Móvil 6vs2 7vs0,269.29,0,0,0,0,0,0,0,0,0,0,0,8,4.01,8,8,35.62,18.61,5.33,-0.08,8,56.92,0,MatchDayMinusTwo,30,0:07:33,21,0,0,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Rondo Móvil 6vs2 7vs0,235.02,0,0,0,0,0,0,0,0,0,0,0,5,4.41,5,4,31.09,18.47,13.94,-0.03,4,27.14,0,MatchDayMinusTwo,30,0:07:33,14,0,0,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Rondo Móvil 6vs2 7vs0,364.87,2.22,2.22,0,0.29,0,0,0,0,0,0,2.22,10,4.78,10,9,48.26,19.98,23.07,0.03,9,106.65,0.29,MatchDayMinusTwo,30,0:07:33,21,0,2.22,0:00:00,0
Thursday,25/07/2024,,MANUEL MARQUEZ,MARQUEZ,EXTREMO,Rondo Móvil 6vs2 7vs0,197.23,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,6,26.09,17.6,7.26,-0.12,6,35.91,0,MatchDayMinusTwo,30,0:07:33,11,0,0,0:00:00,0
Thursday,25/07/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Rondo Móvil 6vs2 7vs0,258.43,12.39,12.39,0,1.64,0,0,0,0,0,0,12.39,5,5.13,5,7,34.18,23.15,12.94,-0.01,7,68.3,1.64,MatchDayMinusTwo,30,0:07:33,15,0,12.39,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Rondo Móvil 6vs2 7vs0,228.97,2.8,2.8,0,0.37,0,0,0,0,0,0,2.8,3,4.04,3,7,30.29,20.63,8.33,0.02,7,49.22,0.37,MatchDayMinusTwo,30,0:07:33,13,0,2.8,0:00:00,0
Thursday,25/07/2024,,ROJO ,,CENTROCAMPISTA,Rondo Móvil 6vs2 7vs0,294.88,15.36,15.36,0,2.03,0,0,0,0,0,0,15.36,9,5.15,9,8,39.01,22.43,13.13,-0.04,8,83.11,2.03,MatchDayMinusTwo,30,0:07:33,17,0,15.36,0:00:00,0
Thursday,25/07/2024,,JESUS SANCHEZ,SANCHEZ,CENTRAL,Rondo Móvil 6vs2 7vs0,317.15,1.12,1.12,0,0.15,0,0,0,0,0,0,1.12,3,3.82,3,6,41.95,20.23,8.36,-0.07,6,63.46,0.15,MatchDayMinusTwo,30,0:07:33,20,0,1.12,0:00:00,0
Thursday,25/07/2024,,ANTONIO CALVO,CALVO,CENTROCAMPISTA,Rondo Móvil 6vs2 7vs0,283.14,10.8,10.8,0,1.43,0,0,0,0,0,0,10.8,5,5.54,5,8,37.45,21.67,6.95,0.01,8,63.9,1.43,MatchDayMinusTwo,30,0:07:33,15,0,10.8,0:00:00,0
Thursday,25/07/2024,,UNAX ALVAREZ,ALVAREZ,EXTREMO,Rondo Móvil 6vs2 7vs0,358.15,0,0,0,0,0,0,0,0,0,0,0,1,3.44,1,8,47.37,17.6,33.01,-0.06,8,67.93,0,MatchDayMinusTwo,30,0:07:33,17,0,0,0:00:00,0
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Defensa de área con centro lateral,650.95,42.96,42.96,0,2.9,0,0,0,0,0,0,42.96,6,5.64,6,9,43.98,24.12,14.61,0.02,9,123.78,2.9,MatchDayMinusTwo,30,0:14:48,22,0,42.96,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Defensa de área con centro lateral,878.75,61.7,61.7,0,4.17,0,0,0,0,0,0,61.7,3,3.26,3,11,59.37,24.84,48.6,-0.04,11,171.65,4.17,MatchDayMinusTwo,30,0:14:48,17,0,61.7,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Defensa de área con centro lateral,814.83,3.95,3.95,0,0.27,0,0,0,0,0,0,3.95,10,5.29,10,10,55.05,20.88,48.67,-0.09,10,138.47,0.27,MatchDayMinusTwo,30,0:14:48,45,0,3.95,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Defensa de área con centro lateral,939.45,71.8,71.8,7.19,4.85,0,0,0,0,0,0,71.8,12,4.56,12,13,63.47,26.42,31.32,0.09,13,182.52,4.85,MatchDayMinusTwo,30,0:14:48,36,7.19,71.8,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Defensa de área con centro lateral,1052.76,2.85,0,0,0.19,0,0,0,0,0,0,0,14,5.87,14,5,71.12,20.84,61.89,0.07,5,78.08,0,MatchDayMinusTwo,30,0:14:48,45,0,2.85,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Defensa de área con centro lateral,630.8,16.6,16.6,0,1.12,0,0,0,0,0,0,16.6,3,4.48,3,8,42.62,22.25,38,-0.06,8,117.98,1.12,MatchDayMinusTwo,30,0:14:48,17,0,16.6,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Defensa de área con centro lateral,828.3,10.44,7.56,0,0.71,0,0,0,0,0,0,7.56,6,4.51,6,12,55.96,24.98,27.08,-0.05,12,86.25,0.51,MatchDayMinusTwo,30,0:14:48,35,0,10.44,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Defensa de área con centro lateral,897.68,7.18,7.18,0,0.49,0,0,0,0,0,0,7.18,12,4.9,12,12,60.65,23.58,15.76,-0.04,12,152.24,0.49,MatchDayMinusTwo,30,0:14:48,53,0,7.18,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Defensa de área con centro lateral,929.22,85.62,85.62,4.28,5.78,0,0,0,0,0,0,85.62,12,5.47,12,10,62.78,26.24,54.05,0.07,10,172.5,5.78,MatchDayMinusTwo,30,0:14:48,35,4.28,85.62,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Defensa de área con centro lateral,743.05,44.65,44.65,0,3.02,0,0,0,0,0,0,44.65,4,3.74,4,10,50.2,24.34,35.54,0,10,153.22,3.02,MatchDayMinusTwo,30,0:14:48,22,0,44.65,0:00:00,0
Thursday,25/07/2024,,MANUEL MARQUEZ,MARQUEZ,EXTREMO,Defensa de área con centro lateral,857.2,82.82,82.82,8.01,5.6,0,0,0,0,0,0,82.82,5,5.17,5,13,57.91,28.08,47.75,-0.02,13,216.71,5.6,MatchDayMinusTwo,30,0:14:48,27,8.01,82.82,0:00:00,0
Thursday,25/07/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Defensa de área con centro lateral,777.38,26.8,26.8,4.33,1.81,0,0,0,0,0,0,26.8,2,3.5,2,7,52.52,26.71,29.26,-0.04,7,137.78,1.81,MatchDayMinusTwo,30,0:14:48,28,4.33,26.8,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Defensa de área con centro lateral,902.08,17.14,17.14,0,1.16,0,0,0,0,0,0,17.14,6,4.5,6,9,60.94,23.36,29.74,0.03,9,126.82,1.16,MatchDayMinusTwo,30,0:14:48,33,0,17.14,0:00:00,0
Thursday,25/07/2024,,ROJO ,,CENTROCAMPISTA,Defensa de área con centro lateral,1250.85,0,0,0,0,0,0,0,0,0,0,0,15,4.52,15,12,84.51,19.51,58.23,0.03,12,194.23,0,MatchDayMinusTwo,30,0:14:48,54,0,0,0:00:00,0
Thursday,25/07/2024,,JESUS SANCHEZ,SANCHEZ,CENTRAL,Defensa de área con centro lateral,966.52,4.06,4.06,0,0.27,0,0,0,0,0,0,4.06,14,4.64,14,25,65.3,22.79,33.06,-0.08,25,257.58,0.27,MatchDayMinusTwo,30,0:14:48,50,0,4.06,0:00:00,0
Thursday,25/07/2024,,ANTONIO CALVO,CALVO,CENTROCAMPISTA,Defensa de área con centro lateral,1244.75,1.65,1.65,0,0.11,0,0,0,0,0,0,1.65,17,4.81,17,12,84.1,19.84,55.37,-0.07,12,199.48,0.11,MatchDayMinusTwo,30,0:14:48,56,0,1.65,0:00:00,0
Thursday,25/07/2024,,UNAX ALVAREZ,ALVAREZ,EXTREMO,Defensa de área con centro lateral,819.82,28.67,28.67,0.71,1.94,0,0,0,0,0,0,28.67,7,5.31,7,8,55.39,25.49,56.51,-0.02,8,138.74,1.94,MatchDayMinusTwo,30,0:14:48,31,0.71,28.67,0:00:00,0
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Trabajo por líneas,703.19,5.21,5.21,0,0.34,0,0,0,0,0,0,5.21,10,4.26,10,2,45.79,22,19.1,0.02,2,81.12,0.34,MatchDayMinusTwo,30,0:15:21,35,0,5.21,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Trabajo por líneas,870.77,12.3,12.3,0,0.8,0,0,0,0,0,0,12.3,16,4.47,16,10,56.7,23.58,53.31,-0.02,10,132.67,0.8,MatchDayMinusTwo,30,0:15:21,36,0,12.3,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Trabajo por líneas,902.55,0,0,0,0,0,0,0,0,0,0,0,8,4.33,8,10,58.77,17.6,36.06,-0.1,10,109.2,0,MatchDayMinusTwo,30,0:15:21,43,0,0,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Trabajo por líneas,920.91,46.61,46.61,10.76,3.03,0,0,0,0,0,0,46.61,9,4.35,9,7,59.96,27.04,22.62,0,7,136.42,3.03,MatchDayMinusTwo,30,0:15:21,37,10.76,46.61,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Trabajo por líneas,540.74,0,0,0,0,0,0,0,0,0,0,0,3,3.73,3,2,35.21,15.52,28.81,0.12,2,15.09,0,MatchDayMinusTwo,30,0:15:21,34,0,0,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Trabajo por líneas,776.73,18.89,18.89,0,1.23,0,0,0,0,0,0,18.89,5,4.23,5,9,50.57,23.29,96.05,-0.03,9,138.42,1.23,MatchDayMinusTwo,30,0:15:21,34,0,18.89,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Trabajo por líneas,834.41,10.2,6.78,0,0.66,0,0,0,0,0,0,6.78,12,4.02,12,8,54.33,23.15,25.05,-0.05,8,132.15,0.44,MatchDayMinusTwo,30,0:15:21,31,0,10.2,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Trabajo por líneas,879.01,1.1,1.1,0,0.07,0,0,0,0,0,0,1.1,10,5.56,10,9,57.23,19.87,9.94,-0.12,9,140.96,0.07,MatchDayMinusTwo,30,0:15:21,40,0,1.1,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Trabajo por líneas,862.14,32.13,32.13,9.32,2.09,0,0,0,0,0,0,32.13,5,4.94,5,5,56.14,26.93,35.5,0.02,5,106.58,2.09,MatchDayMinusTwo,30,0:15:21,40,9.32,32.13,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Trabajo por líneas,767.74,23.82,23.82,1.5,1.55,0,0,0,0,0,0,23.82,16,5.65,16,14,49.99,27,76.3,0.04,14,169.81,1.55,MatchDayMinusTwo,30,0:15:21,42,1.5,23.82,0:00:00,0
Thursday,25/07/2024,,MANUEL MARQUEZ,MARQUEZ,EXTREMO,Trabajo por líneas,713.59,23.21,23.21,0,1.51,0,0,0,0,0,0,23.21,11,4.24,11,3,46.46,22.57,27.24,-0.06,3,125.58,1.51,MatchDayMinusTwo,30,0:15:21,17,0,23.21,0:00:00,0
Thursday,25/07/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Trabajo por líneas,666.32,53.62,53.62,7.85,3.49,0,0,0,0,0,0,53.62,8,4.87,8,5,43.38,26.39,23.34,-0.02,5,126.09,3.49,MatchDayMinusTwo,30,0:15:21,18,7.85,53.62,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Trabajo por líneas,800.93,21.47,21.47,0,1.4,0,0,0,0,0,0,21.47,7,4.6,7,5,52.15,24.23,21.7,0.09,5,122.12,1.4,MatchDayMinusTwo,30,0:15:21,18,0,21.47,0:00:00,0
Thursday,25/07/2024,,ROJO ,,CENTROCAMPISTA,Trabajo por líneas,643.56,0,0,0,0,0,0,0,0,0,0,0,2,3.39,2,2,41.9,17.06,26.69,-0.06,2,33.84,0,MatchDayMinusTwo,30,0:15:21,34,0,0,0:00:00,0
Thursday,25/07/2024,,JESUS SANCHEZ,SANCHEZ,CENTRAL,Trabajo por líneas,825.79,0,0,0,0,0,0,0,0,0,0,0,6,5.13,6,8,53.77,19.66,15.05,-0.06,8,108.08,0,MatchDayMinusTwo,30,0:15:21,42,0,0,0:00:00,0
Thursday,25/07/2024,,ANTONIO CALVO,CALVO,CENTROCAMPISTA,Trabajo por líneas,845.27,7.55,7.55,0,0.49,0,0,0,0,0,0,7.55,10,4.38,10,0,55.04,22.46,33.88,-0.17,0,102.61,0.49,MatchDayMinusTwo,30,0:15:21,41,0,7.55,0:00:00,0
Thursday,25/07/2024,,UNAX ALVAREZ,ALVAREZ,EXTREMO,Trabajo por líneas,668.03,32.21,32.21,5.74,2.1,0,0,0,0,0,0,32.21,5,4.84,5,4,43.5,26.75,40.23,0.02,4,89.16,2.1,MatchDayMinusTwo,30,0:15:21,14,5.74,32.21,0:00:00,0
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,8vs8 + 7 Doble área,1447.43,37.75,37.75,8,1.66,0,0,0,0,0,0,37.75,21,5.27,21,18,63.81,28.12,24.36,0,18,238.04,1.66,MatchDayMinusTwo,30,0:22:40,71,8,37.75,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,8vs8 + 7 Doble área,1478.44,9.94,9.94,0,0.44,0,0,0,0,0,0,9.94,22,5.62,22,25,65.18,24.19,100.1,0,25,213.64,0.44,MatchDayMinusTwo,30,0:22:40,71,0,9.94,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,8vs8 + 7 Doble área,1442.58,8.74,8.74,0,0.39,0,0,0,0,0,0,8.74,11,3.96,11,5,63.6,23.11,56.8,-0.09,5,132.88,0.39,MatchDayMinusTwo,30,0:22:40,55,0,8.74,0:00:00,0
